lineage_name,whole,ensemble_long,ensemble,space,nmon,epsilon,dcyl,lcyl,dcrowd,ncrowd,dt,bdump,adump,ensemble_id,dmon,mmon,eps_others,mcrowd,dwall,phi_m_bulk,rho_m_bulk,phi_c_bulk,rho_c_bulk,n_frames,asphericityMon-mean,asphericityMon-var,asphericityMon-sem,fsdMon-mean,fsdMon-var,fsdMon-sem,gyrMon-mean,gyrMon-var,gyrMon-sem,rfloryMon-mean,rfloryMon-var,rfloryMon-sem,shapeMon-mean,shapeMon-var,shapeMon-sem,transSizeMon-mean,transSizeMon-var,transSizeMon-sem,n_segments,phi_c_bulk_round
,N500epsilon5.0r5.5lz205.0sig0.6nc28473dt0.002bdump1000adump5000ens6,N500epsilon5.0r5.5lz205.0sig0.6nc28473dt0.002bdump1000adump5000,N500D10.0ac0.6nc28473,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,28473,0.002,1000,5000,6,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.1131764731861895,1.0006997305160783,300000,0.9840079391893723,3.246990169891017e-05,1.0403526634796588e-05,118.05789991270701,167.05960452931294,0.02359803391503323,34.890875902058774,17.345618728137108,0.00760387544766021,112.17779650981903,222.8828014069186,0.02725702015702049,1.9522367268129461,0.0002847840650929427,3.081044273058102e-05,4.599004562987487,0.04252255608981247,0.00037648682062872875,2.0,0.125
,N500epsilon5.0r5.5lz205.0sig0.6nc28473dt0.002bdump1000adump5000ens7,N500epsilon5.0r5.5lz205.0sig0.6nc28473dt0.002bdump1000adump5000,N500D10.0ac0.6nc28473,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,28473,0.002,1000,5000,7,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.1131764731861895,1.0006997305160783,300000,0.98353454083013,2.1590131532164787e-05,8.483356941586624e-06,116.58161239041647,146.8511464102432,0.02212477012428199,34.24879019631303,15.522128945595833,0.007193094069128185,111.08470183446248,197.7360107804514,0.025673375956600412,1.9508197300178352,0.00019043125802245583,2.519470134740185e-05,4.608072141903241,0.04147868913972949,0.00037183700462473026,2.0,0.125
,N500epsilon5.0r5.5lz205.0sig0.6nc28473dt0.002bdump1000adump5000ens8,N500epsilon5.0r5.5lz205.0sig0.6nc28473dt0.002bdump1000adump5000,N500D10.0ac0.6nc28473,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,28473,0.002,1000,5000,8,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.1131764731861895,1.0006997305160783,300000,0.9832582764881158,2.2211179693545066e-05,8.604505356896369e-06,115.81147547438303,131.27369995988155,0.02091842390018426,33.88526848650891,12.746560174307824,0.0065183338011548545,110.84706927107493,173.05544065628345,0.024017772413338356,1.949998217577467,0.0001952930879630056,2.5514292657393386e-05,4.6086487951533,0.040304779870293406,0.00036653746611593687,2.0,0.125
,N500epsilon5.0r5.5lz205.0sig0.6nc42709dt0.002bdump1000adump5000ens1,N500epsilon5.0r5.5lz205.0sig0.6nc42709dt0.002bdump1000adump5000,N500D10.0ac0.6nc42709,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,42709,0.002,1000,5000,1,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.1697627223442899,1.5010320229905945,300000,0.9791490398119025,8.027698917187363e-05,1.6358204543157082e-05,106.52688682821909,148.80706235566137,0.022271623079669185,30.920487397683125,12.89317004393518,0.0065557132897730045,100.92129032698314,197.4478750998325,0.025654663855500037,1.9378289089421834,0.0006899003112218592,4.795493060841011e-05,4.64512317551136,0.042643558636825646,0.00037702210714357724,2.0,0.175
,N500epsilon5.0r5.5lz205.0sig0.6nc42709dt0.002bdump1000adump5000ens2,N500epsilon5.0r5.5lz205.0sig0.6nc42709dt0.002bdump1000adump5000,N500D10.0ac0.6nc42709,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,42709,0.002,1000,5000,2,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.1697627223442899,1.5010320229905945,300000,0.9810899587563244,9.206244461846486e-05,1.75178719687736e-05,110.83230179977417,202.4669815365724,0.025978687189615036,32.71530668218713,19.725106672567932,0.008108672810257478,104.68225261677424,282.35203028808746,0.030678601199351698,1.9436029711506997,0.0007935344355395664,5.143076513343508e-05,4.620770332626502,0.04607016670649152,0.00039187719281353847,2.0,0.175
,N500epsilon5.0r5.5lz205.0sig0.6nc42709dt0.002bdump1000adump5000ens3,N500epsilon5.0r5.5lz205.0sig0.6nc42709dt0.002bdump1000adump5000,N500D10.0ac0.6nc42709,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,42709,0.002,1000,5000,3,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.1697627223442899,1.5010320229905945,300000,0.9795361466898701,8.220595508928273e-05,1.6553572535865325e-05,107.57626340965271,184.3808977783841,0.024791229119954593,31.57323862961363,20.03203279029702,0.008171515478367976,101.64231104874929,220.23276894363835,0.027094495323793183,1.9389793795193961,0.0007141870419738206,4.879171454954311e-05,4.648269103186131,0.044962415714393356,0.00038713720905131284,2.0,0.175
,N500epsilon5.0r5.5lz205.0sig0.6nc42709dt0.002bdump1000adump5000ens4,N500epsilon5.0r5.5lz205.0sig0.6nc42709dt0.002bdump1000adump5000,N500D10.0ac0.6nc42709,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,42709,0.002,1000,5000,4,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.1697627223442899,1.5010320229905945,300000,0.9831213952553128,4.809214772083989e-05,1.26612674495267e-05,115.20700482854207,141.96724529720703,0.021753752053606402,34.00671735346575,15.594168739154727,0.007209766690605751,109.79792953661601,185.60858291023936,0.024873627373021547,1.949610234881681,0.0004185161931782273,3.7350483630820396e-05,4.593724111805757,0.04404024193176326,0.0003831465721846712,2.0,0.175
,N500epsilon5.0r5.5lz205.0sig0.6nc42709dt0.002bdump1000adump5000ens5,N500epsilon5.0r5.5lz205.0sig0.6nc42709dt0.002bdump1000adump5000,N500D10.0ac0.6nc42709,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,42709,0.002,1000,5000,5,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.1697627223442899,1.5010320229905945,300000,0.9811134366245884,7.119125707250051e-05,1.540470646452806e-05,111.34219282407125,159.05153546941395,0.023025497869605775,32.50070658346577,16.84355109382934,0.0074930205834467046,106.14469124554952,200.40820670937373,0.025846268250236573,1.9436568563484955,0.0006176816421675978,4.537560655658016e-05,4.621588285419146,0.04463491456176921,0.00038572470038147536,2.0,0.175
,N500epsilon5.0r5.5lz205.0sig0.6nc42709dt0.002bdump1000adump5000ens6,N500epsilon5.0r5.5lz205.0sig0.6nc42709dt0.002bdump1000adump5000,N500D10.0ac0.6nc42709,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,42709,0.002,1000,5000,6,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.1697627223442899,1.5010320229905945,300000,0.9802135020843846,9.438515157755187e-05,1.7737480673775942e-05,110.376879357783,241.69747922250932,0.028384167234772446,32.35006837220053,27.092675283633152,0.009503116259566612,105.23170605064392,275.69508857804743,0.030314793284508208,1.9410002352693716,0.0008187396968777437,5.2241185094366676e-05,4.62938564600865,0.046080434509576794,0.0003919208598324291,2.0,0.175
,N500epsilon5.0r5.5lz205.0sig0.6nc42709dt0.002bdump1000adump5000ens7,N500epsilon5.0r5.5lz205.0sig0.6nc42709dt0.002bdump1000adump5000,N500D10.0ac0.6nc42709,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,42709,0.002,1000,5000,7,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.1697627223442899,1.5010320229905945,300000,0.9803630157393944,6.372070513067822e-05,1.4574054289928692e-05,108.51457031124114,152.83237875746852,0.022570843153681637,31.803257052237676,14.54131230015985,0.00696212629670046,102.64989718036652,220.45997419115804,0.027108467868926626,1.9414216182752133,0.0005489972842011699,4.277846476122525e-05,4.636822215150992,0.04348318455998367,0.00038071568352431257,2.0,0.175
,N500epsilon5.0r5.5lz205.0sig0.6nc42709dt0.002bdump1000adump5000ens8,N500epsilon5.0r5.5lz205.0sig0.6nc42709dt0.002bdump1000adump5000,N500D10.0ac0.6nc42709,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,42709,0.002,1000,5000,8,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.1697627223442899,1.5010320229905945,300000,0.9823538683168072,2.4793601384828164e-05,9.090963284207306e-06,112.63761768257142,117.86890377145556,0.01982164613657765,32.93992210621466,10.279307705915743,0.005853586356638972,107.5625942948405,160.99031529090593,0.02316540897740127,1.9473097624177655,0.00021724961997572482,2.6910366289067774e-05,4.60863030112187,0.04212218861965256,0.00037471023928459696,2.0,0.175
,N500epsilon5.0r5.5lz205.0sig0.6nc56945dt0.002bdump1000adump5000ens1,N500epsilon5.0r5.5lz205.0sig0.6nc56945dt0.002bdump1000adump5000,N500D10.0ac0.6nc56945,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,56945,0.002,1000,5000,1,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.2263489715023903,2.00136431546511,300000,0.9814754679909634,6.833175998993483e-05,1.5092159969470612e-05,111.27029284819285,218.86748604886543,0.027010381683689952,32.78938954556611,23.056513339405253,0.008766715499491224,106.19914855917612,271.23461681211484,0.030068561706568644,1.9447306759270289,0.0005941617552513625,4.450332331400089e-05,4.582807516236305,0.04739553064115148,0.000397474060481856,2.0,0.225
,N500epsilon5.0r5.5lz205.0sig0.6nc56945dt0.002bdump1000adump5000ens2,N500epsilon5.0r5.5lz205.0sig0.6nc56945dt0.002bdump1000adump5000,N500D10.0ac0.6nc56945,N500D10.0ac0.6,500,5.0,10.0,410.0,0.6,56945,0.002,1000,5000,2,1.0,1.0,1.0,1.0,1.0,0.0100371374084111,0.0191695203964944,0.2263489715023903,2.00136431546511,300000,0.9806323039893251,0.00011600794522227209,1.9664547788402675e-05,108.94125153372447,196.1138697061427,0.02556785243368586,32.254911695193165,19.94235806231978,0.008153204796697682,102.79593591168086,271.3320174845782,0.030073960050052785,1.942261035587213,0.000989263479980734,5.742434958379761e-05,4.595388144145806,0.045285175844320964,0.00038852424547000186,2.0,0.225
