rho_c_out,rho_c_in,r_chain,phi_c_out,phi_c_in,r_scaled,tail_model,vdep_model,nmon,dcyl,dcrowd
0.1399999999999999,0.1343819081455958,72.5738334973232,0.07330382858376178,0.07036220256759702,0.9778469240401605,LJ,Ha,400.0,20.0,1.0
0.1399999999999999,0.1343819081455957,72.57383349732281,0.07330382858376178,0.07036220256759697,0.9778469240401552,LJ,Ha,400.0,20.0,1.0
0.16,0.153540541229451,72.13160122954318,0.08377580409572781,0.08039363939244065,0.9718883651226967,LJ,Ha,400.0,20.0,1.0
0.16,0.1535405412294511,72.13160122954346,0.08377580409572781,0.08039363939244071,0.9718883651227006,LJ,Ha,400.0,20.0,1.0
0.18,0.1726761284766088,71.61825179071788,0.09424777960769379,0.09041300944540691,0.9649715860919793,LJ,Ha,400.0,20.0,1.0
0.18,0.172676128476609,71.61825179071882,0.09424777960769379,0.090413009445407,0.964971586091992,LJ,Ha,400.0,20.0,1.0
0.1999999999999999,0.1917806349353234,71.0198421127208,0.10471975511965971,0.10041610563559966,0.9569087205280857,LJ,Ha,400.0,20.0,1.0
0.1999999999999999,0.1917806349353233,71.01984211271996,0.10471975511965971,0.1004161056355996,0.9569087205280744,LJ,Ha,400.0,20.0,1.0
0.22,0.210843824702617,70.31860904469103,0.11519173063162574,0.11039756845675261,0.9474604308957978,LJ,Ha,400.0,20.0,1.0
0.22,0.210843824702617,70.31860904469119,0.11519173063162574,0.11039756845675261,0.9474604308957999,LJ,Ha,400.0,20.0,1.0
0.24,0.2298526559938231,69.49181561499141,0.1256637061435917,0.12035056924638275,0.9363203632834372,LJ,Ha,400.0,20.0,1.0
0.24,0.2298526559938232,69.49181561499164,0.1256637061435917,0.12035056924638281,0.9363203632834401,LJ,Ha,400.0,20.0,1.0
0.26,0.2487903692382284,68.51019822146186,0.1361356816555577,0.13026633271378504,0.9230942251205331,LJ,Ha,400.0,20.0,1.0
0.28,0.2676350498753465,67.33582354320673,0.1466076571675237,0.14013338442192105,0.9072709095884304,LJ,Ha,400.0,20.0,1.0
0.28,0.2676350498753466,67.33582354320713,0.1466076571675237,0.1401333844219211,0.9072709095884357,LJ,Ha,400.0,20.0,1.0
0.3,0.2863572748310425,65.91905052832757,0.15707963267948963,0.1499363184851994,0.888181561983363,LJ,Ha,400.0,20.0,1.0
0.32,0.3049161065704151,64.19410675040415,0.16755160819145562,0.15965370006046975,0.8649399763305001,LJ,Ha,400.0,20.0,1.0
0.32,0.3049161065704147,64.19410675040226,0.16755160819145562,0.15965370006046953,0.8649399763304747,LJ,Ha,400.0,20.0,1.0
0.34,0.3232519699867245,62.072494533628706,0.1780235837034216,0.16925433569478698,0.8363537506868403,LJ,Ha,400.0,20.0,1.0
0.36,0.3412733205489349,59.43305209784013,0.18849555921538758,0.17869029278378806,0.8007903727771957,LJ,Ha,400.0,20.0,1.0
0.36,0.341273320548934,59.43305209783726,0.18849555921538758,0.1786902927837876,0.800790372777157,LJ,Ha,400.0,20.0,1.0
0.38,0.3588301989529438,56.10739516073454,0.19896753472735354,0.18788305281945536,0.7559810627318406,LJ,Ha,400.0,20.0,1.0
0.38,0.358830198952943,56.10739516073208,0.19896753472735354,0.18788305281945492,0.7559810627318075,LJ,Ha,400.0,20.0,1.0
0.4,0.3756587311419928,51.862198249420345,0.20943951023931953,0.19669445166875793,0.6987820346299769,LJ,Ha,400.0,20.0,1.0
0.4,0.3756587311419925,51.86219824941973,0.20943951023931953,0.1966944516687578,0.6987820346299686,LJ,Ha,400.0,20.0,1.0
0.42,0.3912624952077629,46.39914527459536,0.2199114857512855,0.2048645634283199,0.6251738305449868,LJ,Ha,400.0,20.0,1.0
0.42,0.3912624952077629,46.39914527459549,0.2199114857512855,0.2048645634283199,0.6251738305449884,LJ,Ha,400.0,20.0,1.0
0.44,0.4047011563384126,39.48881924742715,0.2303834612632515,0.21190102994200855,0.5320653267750939,LJ,Ha,400.0,20.0,1.0
0.46,0.4145933412906751,31.56599952510901,0.24085543677521745,0.2170805658710051,0.42531466304614446,LJ,Ha,400.0,20.0,1.0
0.48,0.4204405672688158,24.285465424987738,0.2513274122871834,0.22014216623380614,0.32721804154914624,LJ,Ha,400.0,20.0,1.0
0.5,0.4236718199681817,18.888893851514645,0.2617993877991494,0.22183404619084282,0.25450559604111245,LJ,Ha,400.0,20.0,1.0
